table,issue,action,rationale,rows_affected
players_info,Exact duplicate rows (same id + all fields),"Dropped duplicate rows, kept first occurrence",True duplicates add no information and would double-count players in joins,5
players_info,Duplicate player id values after exact-dup removal,Checked: 0 rows remain with shared id (0 expected),Confirms 'id' is a clean unique key for the player dimension table after de-duplication,0
players_info,weight = 0 kg,Replaced 0 with NaN (missing),0 kg is physically impossible for an AFL player; treated as a missing/placeholder value rather than dropping the player record,2
players_info,Missing player_teams,Left as NaN (genuinely unknown - no club history recorded),Cannot be reliably inferred from other columns; imputing a team would fabricate data,93
players_info,Missing profile_pic / player_common_names,Left as NaN,Cosmetic/optional metadata fields not required for statistical analysis; imputing is not meaningful,2207
seasonal_stats,Exact duplicate rows,"Dropped duplicate rows, kept first occurrence",Duplicate season records would double-count games/stats for a player-year-team-finals combination,10
seasonal_stats,player_id stored with malformed 'ID_' text prefix,Stripped 'ID_' prefix so player_id is purely numeric,"Prefix is an encoding artifact; underlying numeric value matches valid ids in players_info, confirmed by successful join after the fix",10
seasonal_stats,player_id dtype,Converted player_id to nullable integer (Int64) to match players_info.id,player_id was loaded as text/object due to mixed formatting; consistent dtype is required for a reliable merge,0
seasonal_stats,Negative games_played values,Dropped rows with negative games_played,"games_played cannot be negative; these rows are corrupted source data with no reliable way to recover the true value, and they were also duplicated rows, so removal avoids skewing season totals/averages",4
seasonal_stats,"Missing values in advanced statistical columns (e.g. contested_possessions, hit_outs, bounces, brownlow_votes)",Left as NaN rather than imputing with 0 or mean,Missingness is structural: these metrics were not officially tracked/recorded in earlier AFL seasons (e.g. bounces ~100% missing pre-1992) or are sparse by nature (brownlow_votes). Filling with 0 would falsely imply 'recorded zero' instead of 'not tracked'; an indicator is preserved by leaving NaN,139251
seasonal_stats,Negative total_fantasy_points,Retained as-is (no change),"AFL Fantasy scoring can legitimately produce negative totals from a single low-impact game (heavy clangers/free-kicks-against, few possessions); values were sense-checked against games_played=1 and are plausible, not data errors",10
merged,seasonal_stats rows with no matching players_info record,Kept as left join (rows retained with NaN info columns); 400 rows affected,"Preserves all season-level statistical records for analysis even when biographical info is unavailable, rather than silently discarding game data; unmatched ids are reported separately for follow-up/data sourcing",400
players_info,Leading/trailing whitespace and literal 'NULL' strings in text fields,"Trimmed whitespace and converted literal 'NULL' strings to proper NaN in ['player_name', 'player_full_name', 'first_name', 'last_name', 'player_teams']",Literal 'NULL' strings are not recognised as missing by pandas by default and break groupby/merge keys,2848
players_info,weight = 0 kg,Replaced 0 with NaN (missing),0 kg is physically impossible for an AFL player; treated as a missing/placeholder value rather than dropping the player record,0
players_info,Leading/trailing whitespace and literal 'NULL' strings in text fields,"Trimmed whitespace and converted literal 'NULL' strings to proper NaN in ['player_name', 'player_full_name', 'first_name', 'last_name', 'player_teams']",Literal 'NULL' strings are not recognised as missing by pandas by default and break groupby/merge keys,2848
players_info,Date columns stored as text,"Parsed born_date, debut_date, last_date to proper datetime dtype",Enables date arithmetic/validation and consistent downstream typing,0
players_info,debut_age consistency check vs born_date/debut_date,Compared stored debut_age to age calculated from dates; 1392 rows differ by rounding only (kept stored values),"Differences were all within 1 year (rounding), so original recorded ages were retained instead of overwritten",1392
seasonal_stats,Exact duplicate rows,"Dropped duplicate rows, kept first occurrence",Duplicate season records would double-count games/stats for a player-year-team-finals combination,10
